90941,1개,3060001,양파
90941,4개,3060001,고추
90941,반개,3060001,당근
90941,1개,3060001,오이
90941,약간,3060001,쑥갓
90941,약간,3060001,치커리
90941,약간,3060001,상추
90920,2개,3060001,가지
90920,약간,3060003,올리브오일
90920,약간,3060003,후추
90920,약간,3060003,소금
90920,2T,3060003,파마산치즈가루
90920,1/2개,3060001,양파
90920,200g,3060003,토마토소스
90920,약간,3060001,파슬리가루
90920,1컵,3060001,피자치즈
90920,1/2T,3060001,다진마늘
90920,4T,3060003,우유
90904,2개,3060001,가지
90904,1/2개,3060001,양파
90904,1개,3060001,홍고추
90904,1게,3060001,청고추
90904,1/2단,3060001,대파
90904,1T,3060003,다진마늘
90904,2T,3060003,고춧가루
90904,1/2T,3060003,들기름
90904,1T,3060003,간장
90904,약간,3060003,소금
90904,약간,3060003,후추
90894,약간,3060001,소금
90894,100g,3060001,고구마잎
90894,1/2T,3060001,다진마늘
90894,1T,3060001,다진파
90894,1t,3060001,깨소금
90894,1t,3060001,참기름
90881,약간,3060003,후추
90881,1T,3060003,허니머스타드
90881,약간,3060003,소금
90881,1T,3060003,마요네즈
90881,1/2개,3060001,노각
90881,2쪽,3060001,닭가슴살
90881,1개,3060001,호박
90868,1T,3060001,다진마늘
90868,6개,3060001,방울토마토
90868,400g,3060001,미니새송이버섯
90868,약간,3060001,다진쪽파
90868,약간,3060001,바질
90868,1/4t,3060001,소금
90868,약간,3060001,올리브유
90846,2T,3060002,소금
90846,10컵,3060002,물
90846,3개,3060002,파뿌리
90846,1/2개,3060002,양파
90846,1T,3060002,밥
90846,작은토막 1개,3060001,무
90846,3개,3060001,깐밤
90846,1T,3060001,소금
90846,4개,3060001,오이
90846,1/4개,3060001,노란 파프리카
90846,1/4개,3060001,붉은 파프리카
90846,1개,3060002,생강
90834,1T,3060003,고추가루
90834,1T,3060003,액젓
90834,1T,3060003,매실액
90834,1t,3060003,다진마늘
90834,20g,3060001,돛나물
90834,20g,3060001,부추
90834,2개,3060001,오이
90834,소1/2,3060003,양파
90818,조금,3060001,소금
90818,20g,3060001,사과
90818,1개,3060001,가지
90818,100g,3060001,소고기
90818,20g,3060001,무순
90818,20g,3060001,당근
90818,20g,3060001,버섯
90818,조금,3060001,버터
90799,50g,3060003,바질
90799,1T,3060003,잣
90799,1/2T,3060003,다진마늘
90799,4T,3060003,올리브오일
90799,1T,3060003,파마르산치즈
90799,약간,3060001,"소금, 후추"
90799,1T,3060001,다진마늘
90799,1/2T,3060001,화이트와인
90799,12마리,3060001,새우
90799,200g,3060001,스파게티면
90799,약간,3060003,"소금, 후추"
90799,1T,3060001,올리브오일
73712,1T,3060001,찹쌀가루
